game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0022300245,1626166,1610612749,1610612757,17.27,33,32,4,0,1,0,0,0,1,1,2,0,23,26,3,0,1,10,4,8,1,0,0,0,31,16,2.1,4.09,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1,6869,1.3,0.73,0.57,4.25,4.8,3.73
0022300249,1631246,1610612763,1610612750,9.85,21,22,0,0,0,0,0,0,0,0,0,0,17,11,1,0,0,3,1,2,1,0,1,1,19,13,0.6,1.99,0.84,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,4,0,3995,0.76,0.37,0.39,4.44,4.78,4.14
0022300250,203915,1610612751,1610612741,38.37,73,74,13,4,8,5,6,15,2,0,0,3,51,66,7,0,1,14,8,20,1,0,2,2,74,27,7.6,6.17,5.35,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,3,1,1,6,1,13628,2.58,1.46,1.12,3.8,4.34,3.25
0022300251,1627747,1610612739,1610612761,21.82,42,44,7,2,6,0,0,4,1,0,0,0,18,23,1,0,1,4,2,3,0,0,1,3,29,18,1.4,2.95,2.55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,1,8802,1.67,0.94,0.73,4.35,4.48,3.7
0022300252,1630200,1610612759,1610612743,22.33,52,48,4,2,3,0,0,4,1,0,0,0,47,53,6,1,3,9,10,18,0,0,2,2,59,19,4.4,4.49,4.31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,7,0,10368,1.96,1.09,0.88,5.01,5.47,4.55
0022300254,1627763,1610612757,1610612754,36.12,77,78,21,7,14,4,4,18,5,0,0,2,64,82,7,1,0,6,8,18,0,0,0,0,92,37,7.9,5.15,5.41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,6,2,14229,2.69,1.61,1.08,4.13,4.33,3.86
0022300254,1628971,1610612754,1610612757,32.7,69,68,5,3,4,0,0,6,1,0,0,0,25,21,3,0,0,4,3,7,2,0,0,2,39,19,1.3,1.98,1.15,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,2,12870,2.44,1.23,1.21,4.03,4.48,3.66
0022300258,1630587,1610612765,1610612747,22.1,48,50,3,0,1,0,0,0,2,0,0,0,15,19,2,0,0,3,2,6,0,0,2,2,25,19,0.7,1.73,0.92,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,9149,1.73,0.93,0.8,4.35,4.69,4.01
0022300260,1630173,1610612761,1610612756,18.3,37,38,3,0,1,2,2,2,1,0,0,1,19,17,1,0,0,1,1,2,2,0,1,2,33,22,0.7,1.24,0.61,3,0,2,0,0,0,1,0,0,0,10,4,8,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,2,10,1,4,1,3,7,0,7596,1.44,0.72,0.72,4.17,4.78,3.7
0022300262,1630631,1610612740,1610612755,9.33,18,17,4,0,2,0,0,0,1,0,1,0,22,25,1,0,0,2,1,2,1,0,0,0,30,14,1.5,3.07,3.47,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,4109,0.78,0.4,0.38,4.64,4.75,4.52
0022300263,202704,1610612743,1610612745,23.75,46,45,10,4,5,0,0,8,5,1,0,0,43,51,2,2,2,7,6,7,0,1,2,4,57,23,4.6,4.82,4.16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,9001,1.7,0.97,0.73,4.02,4.47,3.51
0022300263,1630224,1610612745,1610612743,34.23,64,63,9,1,1,2,2,4,6,2,1,1,53,57,9,0,0,14,9,21,0,1,0,3,74,31,6.2,5.05,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,12,2,12990,2.46,1.37,1.09,4.14,4.95,3.43
0022300264,1629611,1610612746,1610612758,31.32,61,62,3,2,3,0,0,5,0,0,0,0,28,28,1,0,0,1,1,3,0,0,4,5,41,22,1.7,2.46,1.93,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,4,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,6,1,12769,2.42,1.36,1.06,4.33,4.49,4.53
0022300266,1631109,1610612766,1610612751,31.63,60,61,0,0,0,0,0,0,0,0,0,0,34,21,1,0,0,2,1,3,1,3,8,12,49,25,1.3,1.56,0.29,7,1,4,0,0,2,2,0,0,0,10,4,7,2,2,10,1,0,0,1,1,0,0,2,2,2,0,0,0,1,5,4,1,7,0,7,3,4,11,0,12374,2.34,1.22,1.12,4.18,4.37,4.0
0022300269,1628975,1610612741,1610612749,18.02,38,39,6,2,4,0,0,4,2,0,0,0,27,30,1,0,0,3,1,2,3,0,0,0,38,21,1.8,2.84,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,7934,1.5,0.75,0.75,4.56,5.04,4.11
0022300270,1629675,1610612750,1610612762,22.03,44,44,2,0,1,0,0,0,1,0,0,0,21,17,0,0,1,3,1,0,1,1,0,1,32,17,1.0,1.84,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,0,2,0,2,6,1,8751,1.66,0.9,0.75,4.32,4.56,4.07
0022300271,1641717,1610612760,1610612747,21.98,47,46,2,1,1,0,0,2,0,0,1,0,15,21,1,0,0,1,1,2,0,1,1,1,24,14,0.7,1.82,1.71,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,5,2,9013,1.71,0.92,0.79,4.38,4.76,4.03
0022300272,1629027,1610612737,1610612759,39.95,91,92,22,10,14,5,6,26,4,2,0,3,65,92,14,2,1,22,17,37,2,0,0,0,105,32,10.2,5.83,5.56,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,6,0,16106,3.05,1.73,1.32,4.36,4.66,3.74
0022300273,202691,1610612744,1610612746,34.33,69,68,5,2,4,0,0,5,1,1,0,0,17,29,2,0,0,2,2,4,0,1,3,4,39,30,1.4,2.15,1.31,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,1,4,1,3,4,0,13550,2.57,1.46,1.11,4.29,4.97,3.61
0022300274,1629021,1610612753,1610612764,22.9,50,48,0,0,0,0,0,0,0,0,0,0,27,33,0,0,0,3,0,0,1,1,2,4,45,36,1.1,1.41,0.58,6,2,3,1,2,5,1,0,1,1,12,6,7,1,2,14,1,0,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,9,0,2,0,2,8,1,9647,1.83,1.06,0.77,4.33,4.92,4.17
0022300275,1629001,1610612755,1610612738,36.55,76,76,7,3,5,1,2,7,0,0,1,1,38,49,2,0,0,6,2,6,1,1,2,3,65,22,5.6,5.21,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,3,6,1,14464,2.74,1.57,1.17,4.17,4.48,4.14
0022300275,1630625,1610612738,1610612755,10.07,22,23,2,1,2,0,0,2,0,0,0,0,12,8,1,0,0,2,1,3,0,1,0,0,17,9,0.3,1.17,0.76,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,0,2,0,2,3,0,4560,0.86,0.46,0.4,4.88,6.05,3.92
0022300276,1628392,1610612752,1610612761,16.07,33,33,1,0,1,0,0,0,0,0,0,0,18,7,0,0,0,1,0,0,0,1,3,9,23,9,0.4,1.13,0.26,1,0,0,0,0,0,1,0,0,0,5,1,2,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,5,0,6,3,2,12,0,6692,1.27,0.65,0.62,4.52,4.41,3.96
0022300277,1630217,1610612763,1610612742,33.77,68,68,18,6,9,3,4,16,6,0,1,2,59,74,5,0,0,13,5,13,1,2,1,7,87,47,6.4,4.43,3.61,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,2,0,2,13,5,13844,2.62,1.53,1.09,4.35,4.72,3.93
